省份,城市,城市代码,24小时累积雨量(mm)
陕西省,周至,57032,5.4
陕西省,富县,53931,5.4
四川省,西昌,56571,5.4
广东省,惠州,59298,5.4
贵州省,水城,56693,5.4
河南省,西峡,57156,5.4
江西省,永丰,58705,5.300000000000001
吉林省,东岗,54284,5.300000000000001
云南省,昆明,56778,5.300000000000001
黑龙江省,鹤岗,50775,5.3
新疆维吾尔自治区,小渠子,51465,5.3
陕西省,西安,57036,5.3
湖北省,郧县,57253,5.3
贵州省,关岭,57903,5.3
四川省,三台,57307,5.2
吉林省,长白,54386,5.2
四川省,万源,57237,5.2
云南省,富民,56772,5.2
云南省,丘北,56889,5.199999999999999
广东省,乳源,59081,5.199999999999999
西藏自治区,加查,56307,5.1000000000000005
青海省,治多,56016,5.1
广东省,丰顺,59310,5.1
黑龙江省,绥棱,50767,5.0
福建省,平潭,58944,5.0
云南省,马龙,56782,5.0
福建省,福州,58847,5.0
黑龙江省,绥化,50853,5.0
吉林省,延吉,54292,4.9
陕西省,白水,53941,4.9
四川省,蒲江,56281,4.9
浙江省,金华,58549,4.9
重庆市,綦江,57612,4.9
湖北省,十堰,57256,4.9
陕西省,礼泉,57029,4.9
青海省,曲麻莱,56021,4.9
新疆维吾尔自治区,呼图壁,51367,4.8999999999999995
福建省,厦门,59134,4.8999999999999995
四川省,沐川,56490,4.8
云南省,麻栗坡,56996,4.8
重庆市,璧山,57514,4.8
﻿广西壮族自治区,容县,59452,4.8
云南省,巧家,56673,4.8
甘肃省,崇信,53928,4.7
湖北省,神农架,57362,4.7
黑龙江省,五大连池,50655,4.7
广西壮族自治区,象州,59241,4.7
四川省,泸县,57508,4.6000000000000005
黑龙江省,海林,54092,4.6000000000000005
新疆维吾尔自治区,乌鲁木齐,51463,4.6000000000000005
四川省,兴文,56496,4.6
陕西省,岐山,57024,4.6
陕西省,安康,57245,4.5
河南省,灵宝,57056,4.5
陕西省,临潼,57044,4.5
陕西省,宜川,53857,4.5
重庆市,巴南,57518,4.5
黑龙江省,海伦,50756,4.5
广东省,广宁,59271,4.5
黑龙江省,延寿,50965,4.5
黑龙江省,方正,50964,4.5
甘肃省,康县,57105,4.5
四川省,梓潼,57304,4.4
陕西省,宝鸡,57016,4.4
陕西省,眉县,57027,4.4
山西省,乡宁,53953,4.4
江西省,全南,59091,4.4
四川省,甘洛,56473,4.300000000000001
贵州省,赫章,56598,4.3
湖北省,竹山,57257,4.3
陕西省,大荔,57043,4.3
云南省,元谋,56763,4.2
四川省,自贡,56396,4.2
四川省,内江,57503,4.2
贵州省,石阡,57734,4.2
重庆市,垫江,57425,4.1000000000000005
湖南省,城步,57857,4.1000000000000005
江西省,黎川,58719,4.1
云南省,宜良,56880,4.1
陕西省,三原,57041,4.1
陕西省,乾县,57035,4.1
陕西省,扶风,57026,4.1
江西省,上饶县,58623,4.1
四川省,长宁,56593,4.0
山西省,吉县,53859,3.9000000000000004
黑龙江省,拜泉,50755,3.9
贵州省,平坝,57814,3.9
四川省,珙县,56499,3.9
重庆市,南川,57519,3.9
四川省,宣汉,57326,3.8000000000000003
广东省,阳春,59469,3.8000000000000003
云南省,太华山,56872,3.8000000000000003
山西省,临猗,53958,3.8000000000000003
浙江省,常山,58631,3.8000000000000003
山西省,闻喜,53967,3.8
甘肃省,两当,57111,3.7
重庆市,永川,57506,3.7
四川省,炉霍,56158,3.7
黑龙江省,庆安,50861,3.7
吉林省,白山,54371,3.7
陕西省,永寿,57030,3.6999999999999997
陕西省,澄城,53949,3.6999999999999997
贵州省,赤水,57609,3.6
浙江省,洞头,58760,3.6
陕西省,商南,57154,3.6
江西省,龙南,59092,3.6
陕西省,陈仓,57020,3.6
新疆维吾尔自治区,阜康,51377,3.6
新疆维吾尔自治区,沙湾,51357,3.5999999999999996
湖北省,保康,57361,3.5999999999999996
广西壮族自治区,柳州,59046,3.5
吉林省,永吉,54171,3.5
新疆维吾尔自治区,莫索湾,51353,3.5
重庆市,重庆,57516,3.5
陕西省,高陵,57040,3.5
四川省,北川,56194,3.5
陕西省,彬县,57023,3.5
陕西省,蒲城,53948,3.5
四川省,芦山,56279,3.5
重庆市,长寿,57520,3.5
山西省,芮城,57053,3.4000000000000004
广西壮族自治区,北流,59451,3.4000000000000004
四川省,木里,56459,3.4
湖北省,房县,57259,3.4
陕西省,凤翔,57025,3.4
江西省,玉山,58634,3.4
湖北省,谷城,57268,3.3000000000000003
四川省,叙永,57608,3.3
浙江省,绍兴,K4026,3.3
贵州省,毕节,57707,3.3
吉林省,靖宇,54276,3.3
广东省,中山,59485,3.2
四川省,平武,56193,3.2
黑龙江省,宁安,54098,3.2
黑龙江省,依安,50750,3.2
陕西省,泾阳,57033,3.1999999999999997
四川省,茂县,56180,3.1999999999999997
贵州省,龙里,57913,3.1999999999999997
浙江省,台州,58665,3.1999999999999997
广东省,乐昌,57988,3.1
四川省,富顺,56399,3.1
重庆市,巫溪,57345,3.1
江西省,乐安,58706,3.1
青海省,甘德,56045,3.1
吉林省,榆树,54072,3.0999999999999996
浙江省,文成,58750,3.0999999999999996
陕西省,耀县,57037,3.0
陕西省,合阳,53950,3.0
黑龙江省,木兰,50962,3.0
云南省,罗平,56891,3.0
吉林省,临江,54374,3.0
河南省,方城,57179,3.0
福建省,仙游,58936,3.0
四川省,都江堰,56188,3.0
贵州省,麻江,57828,2.9
山西省,稷山,53954,2.9
河南省,淅川,57261,2.9
黑龙江省,铁力,50862,2.9
甘肃省,宕昌,56095,2.9
广东省,廉江,59654,2.9
云南省,个旧,56984,2.8000000000000003
广东省,博罗,59297,2.8000000000000003
四川省,洪雅,56380,2.8
江西省,上犹,57991,2.8
江西省,赣州,57993,2.7
黑龙江省,宾县,50960,2.7
西藏自治区,措勤,55357,2.7
山西省,永济,57052,2.7
甘肃省,张家川,57012,2.7
四川省,红原,56173,2.7
云南省,文山,56994,2.7
云南省,马关,56995,2.7
贵州省,凯里,57825,2.6
江西省,大余,57994,2.6
湖南省,常宁,57874,2.6
广东省,高州,59653,2.6
新疆维吾尔自治区,白杨沟,51469,2.6
河南省,内乡,57169,2.6
贵州省,三穗,57832,2.6
四川省,夹江,56382,2.5
江西省,峡江,58704,2.5
四川省,丹棱,56381,2.5
西藏自治区,工布江达,56301,2.5
河南省,南召,57176,2.5
福建省,晋江,59137,2.5
浙江省,瑞安,58752,2.5
四川省,白玉,56147,2.5
云南省,盐津,56497,2.5
湖南省,新宁,57851,2.5
山西省,侯马,53963,2.5
新疆维吾尔自治区,昭苏,51437,2.5
贵州省,惠水,57912,2.5
黑龙江省,明水,50758,2.5
贵州省,湄潭,57722,2.5
广西壮族自治区,贺州,59065,2.4000000000000004
山西省,河津,53957,2.4
甘肃省,徽县,57110,2.4
四川省,开江,57329,2.4
四川省,荣县,56394,2.4
广西壮族自治区,柳城,59041,2.4
广西壮族自治区,金秀,59057,2.3000000000000003
重庆市,江津,57517,2.3000000000000003
云南省,绥江,56483,2.3
贵州省,桐梓,57606,2.3
四川省,松潘,56182,2.3
湖南省,东安,57867,2.3
吉林省,东丰,54261,2.3
陕西省,甘泉,53848,2.3
山西省,襄汾,53861,2.2
四川省,石渠,56038,2.2
浙江省,江山,58632,2.2
湖南省,衡南,57875,2.2
贵州省,威宁,56691,2.2
湖南省,衡阳市,57872,2.2
黑龙江省,克山,50658,2.2
贵州省,贵定,57824,2.2
黑龙江省,呼兰,50956,2.2
江西省,新干,58701,2.2
吉林省,敦化,54186,2.1
四川省,色达,56152,2.1
西藏自治区,当雄,55493,2.1
四川省,九龙,56462,2.1
重庆市,涪陵,57522,2.1
四川省,江安,57600,2.1
吉林省,吉林,54172,2.1
新疆维吾尔自治区,米泉,51369,2.1
云南省,姚安,56764,2.1
新疆维吾尔自治区,尼勒克,51433,2.0
山西省,垣曲,53968,2.0
吉林省,伊通,54164,2.0
湖北省,丹江口,57260,2.0
新疆维吾尔自治区,和丰,51156,2.0
黑龙江省,五常,54080,2.0
湖南省,新田,57971,2.0
贵州省,余庆,57729,2.0
吉林省,二道,54285,2.0
江西省,南康,57992,2.0
四川省,犍为,56389,2.0
广东省,化州,59655,2.0
山西省,新绛,53964,2.0
陕西省,千阳,57021,1.9000000000000001
贵州省,雷山,57837,1.9000000000000001
吉林省,珲春,54291,1.9000000000000001
贵州省,福泉,57821,1.9000000000000001
陕西省,旬阳,57242,1.9000000000000001
浙江省,天台,58559,1.9000000000000001
陕西省,山阳,57155,1.9000000000000001
陕西省,富平,57042,1.9000000000000001
四川省,屏山,56494,1.9
黑龙江省,塔河,50246,1.9
﻿福建省,闽清,58839,1.9
广西壮族自治区,全州,57960,1.9
陕西省,汉阴,57233,1.9
辽宁省,西丰,54252,1.8
云南省,威信,56596,1.8
贵州省,瓮安,57728,1.8
四川省,汉源,56376,1.8
黑龙江省,巴彦,50867,1.8
四川省,中江,56199,1.8
广西壮族自治区,荔浦,59055,1.8
云南省,弥勒,56885,1.8
四川省,简阳,56295,1.7999999999999998
河南省,镇平,57175,1.7999999999999998
贵州省,黎平,57839,1.7999999999999998
江西省,南丰,58718,1.7000000000000002
福建省,泉州,59132,1.7
云南省,牟定,56766,1.7
贵州省,望谟,57906,1.7
甘肃省,华亭,53927,1.7
黑龙江省,通河,50963,1.7
四川省,马边,56480,1.7
黑龙江省,望奎,50852,1.7
云南省,华宁,56879,1.6
湖南省,芷江,57745,1.6
广西壮族自治区,隆林,59001,1.6
吉林省,桦甸,54273,1.6
黑龙江省,哈尔滨,50953,1.6
福建省,邵武,58725,1.6
贵州省,万山,57742,1.6
湖北省,襄阳,57278,1.6
甘肃省,秦安,57002,1.6
甘肃省,镇原,53925,1.5999999999999999
山西省,绛县,53965,1.5999999999999999
江西省,瑞金,58903,1.5
四川省,邛崃,56284,1.5
新疆维吾尔自治区,精河,51334,1.5
吉林省,梅河口,54266,1.5
云南省,宣威,56697,1.5
西藏自治区,巴青,56114,1.5
河南省,邓州,57274,1.5
湖北省,南漳,57363,1.5
湖南省,攸县,57779,1.5
贵州省,白云,57911,1.5
湖南省,株洲,57780,1.5
广西壮族自治区,临桂,57954,1.5
青海省,称多,56034,1.5
黑龙江省,依兰,50877,1.5
四川省,绵竹,56186,1.5
江西省,吉水,58707,1.4000000000000001
江西省,新余,57796,1.4000000000000001
四川省,大邑,56285,1.4
四川省,泸州,57602,1.4
四川省,纳溪,57604,1.4
四川省,古蔺,57605,1.4
吉林省,蛟河,54181,1.4
甘肃省,甘谷,57001,1.4
山西省,曲沃,53961,1.4
广西壮族自治区,灌阳,57964,1.4
贵州省,盘县,56793,1.4
福建省,建宁,58822,1.3
广东省,台山,59478,1.3
西藏自治区,聂荣,55298,1.3
湖南省,南岳,57776,1.3
黑龙江省,新林,50349,1.3
山西省,运城,53959,1.3
﻿黑龙江省,木兰,50962,1.3
四川省,宝兴,56273,1.3
江西省,莲花,57789,1.2999999999999998
河南省,遂平县,57189,1.2000000000000002
黑龙江省,汤原,50871,1.2000000000000002
四川省,筠连,56498,1.2000000000000002
山西省,沁水,53970,1.2
贵州省,玉屏,57739,1.2
湖北省,宜城,57370,1.2
湖南省,怀化,57749,1.2
黑龙江省,肇东,50858,1.2
山西省,夏县,57060,1.2
湖北省,老河口,57265,1.2
贵州省,贵阳,57816,1.1
